table_name,column_name,variable_type,column_description,required_flag
hive.user_paytm_payments.upi_flow_wise_base_cm,txn_id,varchar,A unique transaction identifier used to count and track individual UPI payment transactions within the payment flow system. This field serves as the primary key for transaction-level analysis and is commonly used in aggregations to measure transaction volumes.,yes
hive.cdo.fact_upi_transactions_snapshot_v3,7d_avg_DAU,,A pre-calculated 7-day rolling average of Daily Active Users (DAU) used as a baseline metric for measuring user engagement trends and calculating growth rates against daily fluctuations.,no
hive.cdo.fact_upi_transactions_snapshot_v3,7d_avg_gmv,,"A 7-day rolling average of Gross Merchandise Value (GMV) for UPI transactions, used as a baseline metric to calculate growth rates and smooth out daily fluctuations in merchant transaction volumes.",no
hive.cdo.fact_upi_transactions_snapshot_v3,7d_avg_nr,,"This column stores the 7-day rolling average of Net Revenue (NR) for UPI transactions, used to smooth out daily fluctuations and provide a stable baseline for calculating growth metrics and performance trends in merchant revenue analysis.",no
hive.cdo.fact_upi_transactions_snapshot_v3,7d_avg_txns,,A 7-day rolling average of transaction counts used as a baseline metric for measuring transaction performance and calculating growth rates against daily transaction volumes for online merchants.,no
hive.cdo.fact_upi_transactions_snapshot_v3,LMTD_gmv,,"LMTD_gmv represents the Last Month To Date Gross Merchandise Value, capturing the total transaction value for online merchants from the beginning of the previous month up to the corresponding date. This metric is used in performance dashboards to compare current month GMV trends against the same period in the previous month for growth analysis.",no
hive.cdo.fact_upi_transactions_snapshot_v3,LMTD_mau,,"Last Month To Date Monthly Active Users (MAU) count, representing the number of unique active users for the equivalent period in the previous month, used as a baseline for calculating month-over-month MAU growth rates for online merchants in UPI transactions.",no
hive.cdo.fact_upi_transactions_snapshot_v3,LMTD_nr,,Last Month To Date Net Revenue - represents the cumulative net revenue generated from the beginning of the previous month up to the corresponding day of the current reporting period. This metric is used in merchant performance dashboards to compare revenue trends and calculate month-over-month growth rates.,no
hive.cdo.fact_upi_transactions_snapshot_v3,LMTD_txns,,"LMTD_txns represents the Last Month To Date transaction count, capturing the number of UPI transactions for the same calendar period in the previous month. This metric serves as a baseline for calculating month-over-month transaction growth rates in merchant performance dashboards.",no
hive.cdo.fact_upi_transactions_snapshot_v3,MTD_gmv,,"Month-to-Date Gross Merchandise Value representing the cumulative transaction value for UPI payments from the beginning of the current month through the current date, used for tracking merchant performance and calculating monthly growth metrics.",no
hive.cdo.fact_upi_transactions_snapshot_v3,MTD_mau,,"Monthly-to-date count of unique active users who have performed UPI transactions, used to track user engagement trends and calculate month-over-month growth rates for online merchants.",no
hive.cdo.fact_upi_transactions_snapshot_v3,MTD_nr,,MTD_nr represents the Month-to-Date Net Revenue for online merchants in the UPI transactions system. This metric is used to track cumulative net revenue performance from the beginning of the current month and calculate growth comparisons against the previous month's equivalent period.,no
hive.cdo.fact_upi_transactions_snapshot_v3,MTD_txns,,"MTD_txns represents the month-to-date transaction count for UPI transactions, tracking the total number of transactions from the beginning of the current month to the current date. This metric is used in merchant performance dashboards to calculate transaction growth rates by comparing against the previous month's MTD values.",no
hive.cdo.fact_upi_transactions_snapshot_v3,Yday_DAU,,"Yesterday's Daily Active Users (DAU) count, representing the number of unique active users on the previous day for UPI transaction merchants. This metric is used in performance dashboards to track daily user engagement and calculate day-over-day growth rates.",no
hive.cdo.fact_upi_transactions_snapshot_v3,Yday_gmv,,Yesterday's Gross Merchandise Value (GMV) representing the total transaction value processed by online merchants on the previous day. This metric is used in daily performance tracking and growth calculations for 3P online merchant monitoring.,no
hive.cdo.fact_upi_transactions_snapshot_v3,Yday_nr,,Net revenue generated on the previous day (yesterday) for online merchants in the UPI transactions system. This metric is used to track daily revenue performance and calculate growth comparisons against historical averages and month-to-date figures.,no
hive.cdo.fact_upi_transactions_snapshot_v3,Yday_txns,,"Number of UPI transactions that occurred yesterday, used to track daily transaction volume performance and calculate day-over-day growth rates against 7-day averages for merchant analytics.",no
hive.cdo.fact_upi_transactions_snapshot_v3,amount,double,"The monetary value of individual UPI transactions, used as the basis for calculating Gross Merchandise Value (GMV) metrics across different time periods for business performance tracking and merchant analytics.",no
hive.cdo.fact_upi_transactions_snapshot_v3,category,varchar,"Categorical field that classifies UPI transactions or merchants into different business segments, used for grouping and analyzing transaction metrics across various merchant categories in dashboard reporting.",no
hive.cdo.fact_upi_transactions_snapshot_v3,channel,,"The channel column represents the transaction channel or platform through which UPI payments are processed, used to categorize and analyze transaction performance across different payment channels in the UPI ecosystem.",no
hive.cdo.fact_upi_transactions_snapshot_v3,cust_id,,"Unique identifier for customers in the UPI transactions fact table, used to calculate user engagement metrics like DAU, MAU, and customer-level transaction analytics for business performance reporting.",yes
hive.cdo.fact_upi_transactions_snapshot_v3,customer_id,,"Unique identifier for customers in UPI transaction records, used to calculate customer engagement metrics like DAU, MAU, and aggregate transaction volumes and values for business intelligence reporting.",yes
hive.cdo.fact_upi_transactions_snapshot_v3,customer_id_payer,varchar,"Unique identifier for the customer who initiates and pays for UPI transactions, used to calculate user engagement metrics like DAU and MAU for merchant performance analysis.",yes
hive.cdo.fact_upi_transactions_snapshot_v3,day_id,,"A date identifier column that serves as the primary temporal dimension for UPI transaction analysis, enabling time-based aggregations and calculations of daily, weekly, and monthly metrics such as DAU, transaction volumes, and GMV growth rates.",yes
hive.cdo.fact_upi_transactions_snapshot_v3,dt,,"Date column representing the snapshot date or transaction date in the UPI transactions fact table, used for time-based partitioning and calculating various daily, weekly, and monthly business metrics like DAU, transaction volumes, and GMV.",yes
hive.cdo.fact_upi_transactions_snapshot_v3,flow_category,varchar,"A categorical field that classifies UPI transactions into different flow types or payment pathways, used for segmenting and analyzing transaction patterns within the UPI payment ecosystem.",no
hive.cdo.fact_upi_transactions_snapshot_v3,online_merchant_name,varchar,"The name identifier for third-party online merchants in the UPI transactions system, used to segment and analyze key business metrics like user activity, transaction volumes, and revenue across different merchant partners.",no
hive.cdo.fact_upi_transactions_snapshot_v3,payee_vpa,varchar,"The Virtual Payment Address (VPA) of the payee/recipient in UPI transactions, used to identify the destination account for payment routing and transaction processing.",no
hive.cdo.fact_upi_transactions_snapshot_v3,payer_handle,varchar,"A unique identifier or handle representing the payer (customer/user) making the UPI transaction, typically formatted as an alphanumeric string that serves as the payer's identity in the UPI payment system.",no
hive.cdo.fact_upi_transactions_snapshot_v3,status,varchar,"Represents the current state or processing status of UPI transactions (e.g., SUCCESS, FAILED, PENDING), used for filtering and categorizing transaction records based on their completion status.",no
hive.cdo.fact_upi_transactions_snapshot_v3,transaction_date_key,date,"A date field that represents the transaction date and serves as the primary time dimension for analyzing UPI transaction metrics including daily/monthly active users, transaction volumes, GMV, and net revenue across various time periods and growth calculations.",yes
hive.cdo.fact_upi_transactions_snapshot_v3,transaction_type,varchar,"Categorizes the type of UPI transaction (such as P2P, P2M, or other transaction categories), serving as a classification field in the UPI transactions fact table for potential segmentation and analysis purposes.",no
hive.cdo.fact_upi_transactions_snapshot_v3,txn_date,,"The transaction date column that serves as the primary time dimension for UPI transaction analysis, enabling day-over-day, month-to-date, and period-over-period growth calculations for business metrics like DAU, transaction volume, and GMV.",yes
hive.cdo.fact_upi_transactions_snapshot_v3,txn_id,varchar,"Unique identifier for each UPI transaction record in the snapshot table, serving as the primary key that enables transaction counting and analysis for various business metrics and reporting dashboards.",yes
hive.cdo.fact_upi_transactions_snapshot_v3,txn_timestamp,timestamp(3),"Records the exact timestamp when each UPI transaction occurred, with millisecond precision. This field serves as the primary time dimension for calculating daily, weekly, and monthly business metrics including user activity, transaction volumes, and revenue aggregations across different time periods.",yes
hive.cdo.fact_upi_transactions_snapshot_v3,user_type,,"Categorizes users or entities in the UPI transaction system, likely distinguishing between different user segments such as merchants, consumers, or third-party participants for business analytics and performance tracking.",no
hive.user_paytm_payments.ft_base_with_mapping_raw_rolling_nrr_with_online_10_logic,amount,,Represents the monetary value of individual payment transactions used to calculate Gross Merchandise Value (GMV) metrics in the Paytm payments dashboard. This amount field is aggregated to provide MTD and LMTD GMV totals and growth calculations for business performance tracking.,no
hive.user_paytm_payments.ft_base_with_mapping_raw_rolling_nrr_with_online_10_logic,customer_id_payer,,"Identifier for customers who make payments through the platform, used as a key field in payment analytics to link transactions to customer entities for merchant performance tracking and user engagement analysis.",yes
hive.user_paytm_payments.ft_base_with_mapping_raw_rolling_nrr_with_online_10_logic,flow_category,,"Categorizes different payment flow types or transaction methods (e.g., UPI, wallet, cards) used for analyzing merchant payment performance across various metrics like DAU, transactions, and GMV in the payments dashboard.",no
hive.user_paytm_payments.ft_base_with_mapping_raw_rolling_nrr_with_online_10_logic,payer_handle,,"A unique identifier for the payer in the Paytm payment system, used to track and associate payment transactions with specific paying entities in the online merchant payment flow.",no
hive.user_paytm_payments.ft_base_with_mapping_raw_rolling_nrr_with_online_10_logic,status,,"Indicates the operational or processing status of merchant records in the rolling Net Revenue Retention (NRR) analysis for online payment merchants. This field likely tracks whether merchant data is active, processed, or excluded from the daily performance calculations shown in the dashboard.",no
hive.user_paytm_payments.ft_base_with_mapping_raw_rolling_nrr_with_online_10_logic,transaction_date_key,,"A date key column that serves as the primary temporal dimension for transaction analysis, enabling time-based aggregations and comparisons of daily active users, transaction volumes, GMV, and net revenue metrics across different time periods (daily, weekly, monthly).",yes
hive.user_paytm_payments.ft_base_with_mapping_raw_rolling_nrr_with_online_10_logic,transaction_type,,"Categorizes the type of payment transaction (e.g., UPI, wallet, card) used in online merchant payments, enabling analysis of payment method performance across different transaction types in the Paytm ecosystem.",no
