term,type,definition,business_alias
Change Yday vs last 7 day avg,Metric / Calculated Field,"Percentage change comparing yesterday's failure count to the average daily failure count over the last 7 days, calculated as (Yesterday's Failures / Last 7 day average) - 1","% Change vs L7D avg, T-1 vs L7D Change, Daily Change vs Average"
UPI SR,Category,UPI Success Rate monitoring category encompassing metrics related to UPI transaction success and failure rates.,UPI Success Rate
L7D Avg,Synonym,Last 7 Days Average,Last 7 day average
Yday,Synonym,Yesterday,T-1
NPCI Response Code,Category,Error codes returned by NPCI (National Payments Corporation of India) indicating specific reasons for transaction failures,"Error Code, npci_resp_code, Error Code, NPCI Resp Code"
U30-Z9 & U30-ZM,Category,Specific error code categories that are excluded from the analysis,Excluded error codes
payer_handle,Metric,The UPI handle or virtual payment address of the payer initiating the transaction,Payer Handle
npci_resp_code,Metric,Response code returned by NPCI (National Payments Corporation of India) indicating transaction status or error reason,"Error Code, NPCI Response Code"
NPCI Resp Code,Metric,Response code returned by NPCI (National Payments Corporation of India) indicating transaction status or failure reason,Error Code
Transaction Status,Category,Status of UPI transactions including SUCCESS and FAILURE states,
Failure,Category,UPI transactions with status 'FAILURE' indicating unsuccessful payment processing,"Failed transactions, Transaction failures"
Transaction ID,Metric,Unique identifier for each UPI transaction used for counting and tracking purposes,"TXN ID, Txn ID"
Success Rate,Metric / Calculated Field,The percentage of transactions that completed successfully out of total transactions attempted,SR
Intent,Category,UPI transactions initiated through intent-based payment flows using specific initiation modes,
Mandate,Category,Recurring payment transactions where customers authorize merchants for automatic debits,
Paytm QR,Category,QR code based transactions processed through Paytm's QR merchant channel,
3P QR,Category,Third-party QR code transactions processed through Paytm channel with specific initiation modes,Third Party QR
Total Txn,Metric,"Total sum of all transactions in the dataset, representing the complete volume of payment attempts.",Total Transactions
Success Txns,Metric,"Count of transactions that completed successfully, filtered to include only transactions with status 'SUCCESS' or 'DEEMED'.","Success Transactions, Successful Txns, Successful Transactions"
% Change SR,Metric / Calculated Field,"Percentage change in Success Rate compared to the previous time period, calculated using lag function to show period-over-period SR performance.","Success Rate Change Percentage, Success Rate Change, SR Delta, Success Rate Change %, SR Change %, SR Change, Success Rate Change, Success Rate Change, SR Change, Success Rate Change, Success Rate Change, SR Change %"
MANDATE,Category,Recurring payment transactions set up through UPI mandate system,
VPA2VPA,Category,UPI transaction category where payments are made between two Virtual Payment Addresses (peer-to-peer transfers),"VPA to VPA, VPA to VPA, P2P"
VPA2ACCOUNT,Category,UPI transaction category where payments are made from Virtual Payment Address to bank account,VPA to Account
QR,Category,"QR Code payment method, including both Paytm QR and 3P QR (third-party QR) transaction types.","QR Code Payments, QR Code"
Competition,Category,Non-Paytm payment service providers in the UPI ecosystem being compared against Paytm's performance.,
Txn,Synonym,Transaction,
sr_current,Metric / Calculated Field,Current hour success rate calculated as distinct successful transaction count divided by distinct total transaction count for the current monitoring period,Current Success Rate
sr_avg,Metric,Historical average success rate benchmark derived from historical transaction performance data,"Average Success Rate, Benchmark Success Rate"
sr_difference,Metric / Calculated Field,"Variance between current success rate and historical average, calculated as sr_current minus sr_avg to identify performance deviations","Success Rate Variance, SR Delta"
VPA2MERCHANT,Category,UPI transaction category where payments are made from Virtual Payment Address to merchant accounts,VPA to Merchant
Last Hour SR Overall Alert,Category,Monitoring alert system that tracks UPI success rate performance for the most recent hour compared to historical benchmarks,"Hourly SR Alert, Real-time SR Monitoring"
SR Current,Metric / Calculated Field,"Current hour's success rate for UPI transactions, calculated by dividing successful transactions by total transactions for the last completed hour",Current Success Rate
SR Average,Metric,Historical benchmark average success rate used as a baseline for comparison against current performance,"Average Success Rate, SR Avg"
SR Difference,Metric / Calculated Field,"Variance calculated as Current SR minus Average SR, indicating performance deviation from historical baseline",Success Rate Difference
CC,Category,Channel Code or business unit identifier used to categorize UPI transactions by source or processing channel,Channel Code
Hour,Metric,Hourly time dimension extracted from transaction creation timestamp for trend analysis,Hourly
Todays Txns,Metric,Count of transactions for the current day (T),T transactions
Yesterdays Txns,Metric,Count of transactions for the previous day (T-1),T-1 transactions
error_code,Category,Classification codes identifying specific types of transaction failures or errors in UPI transactions,Error Code
todays_txns,Metric,Count of transactions processed on the current day (T),Today's Transactions
yesterdays_txns,Metric,Count of transactions processed on the previous day (T-1),Yesterday's Transactions
Failure_Growth,Metric / Calculated Field,Calculated metric comparing failure rates between today and yesterday to identify growth in transaction failures,Failure Growth Rate
