term,type,definition,business_alias
Bot MSAT,Metric / Calculated Field,"Bot satisfaction percentage calculated as (positive bot responses / total bot responses) * 100, measuring the rate of positive customer interactions with automated bot services",Bot Satisfaction
bot_positive_response,Metric,Count of positive customer responses or feedback received from bot interactions,
bot_total_responses,Metric,"Total count of all responses received from bot interactions, including both positive and negative feedback",
Bot MSAT (%),Metric / Calculated Field,"Bot satisfaction percentage calculated as (positive bot responses / total bot responses) * 100, measuring the percentage of positive feedback received from bot interactions",MSAT
MSAT,Synonym,"Member satisfaction rate showing the percentage of received feedback that was satisfied, calculated as (service tickets with MSAT received / total service tickets with feedback received) × 100","Member Satisfaction, Customer Satisfaction, Member Satisfaction, Medical Health Department Satisfaction, Mean Satisfaction, also referred as Bot Satisfaction Rate, Member Satisfaction, also referred as Medical Satisfaction, Customer Satisfaction, Mean Satisfaction, Bot Satisfaction Rate, Monthly Satisfaction, also referred as MSAT(%), Customer Satisfaction Rate, Satisfaction Score, Customer Satisfaction, Merchant Satisfaction, Agent Satisfaction, Customer Satisfaction Score, Merchant Satisfaction, Satisfaction Score, Satisfaction Measurement, Member Satisfaction, Mobile Satisfaction"
Bot Passthrough (%),Metric / Calculated Field,"Percentage of bot-active tickets that are passed through to human agents, calculated as (agent_ticket_count_bot / bot_active_ticket_count) * 100",Bot Escalation Rate
agent_ticket_count_bot,Metric,Total count of tickets that were initially handled by bots but then transferred to human agents,
IVR Calls,Metric,"Total count of calls handled by Interactive Voice Response system, an automated phone system that interacts with callers","IVR, Interactive Voice Response Calls"
IVR Calls Count,Metric,Total number of calls handled by the Interactive Voice Response system during the specified time period,"IVR Calls, SUM(ivr_calls)"
Care Dashboard-MHD,Category,Healthcare dashboard category focusing on IVR call metrics for medical/healthcare services,MHD Care Metrics
Ticket Count,Metric,"The number of support tickets, representing individual customer service requests or issues.",
Service,Category,"Percentage of active bot tickets that are passed through to service team, calculated as (bot_to_service_ticket_count / bot_active_ticket_count) * 100","IVR to Service Ticket Count, Serivce, IVR to Service Tickets, Bot to Service Ticket Count"
total_ticket_count,Metric,Base field containing the count of tickets that gets aggregated in reporting,
Total Ticket Count,Metric,"The total number of support tickets across all categories, representing the volume of customer service requests.",
Service Ticket Count,Metric,The total number of service tickets recorded in the system for customer support or service requests.,
SUM(service_ticket_count),Metric / Calculated Field,"The aggregated sum of all service ticket counts, typically grouped by dimensions such as line of business.",Total Service Tickets
MHD Agent,Category,"Percentage of bot tickets transferred to Mental Health Department agents, calculated as (agent_ticket_count_bot / bot_active_ticket_count) * 100","MHD Agent Ticket Count, Mental Health Department Agent Tickets, MHD/Merchant Help Desk Agent, Mental Health Department Agent"
agent_ticket_count,Metric,Number of tickets handled or processed by individual agents,
SUM(agent_ticket_count),Metric / Calculated Field,"Total aggregated count of all tickets processed by agents, calculated by summing individual agent ticket counts",
Agent Ticket Count,Metric,"Total count of tickets handled by agents, representing the volume of customer service interactions processed through support channels.",
Ticket Count (Service),Synonym,Service Ticket Count,
MSAT(%) Agent,Metric / Calculated Field,"Percentage of agent tickets that received positive satisfaction feedback, calculated as (Total satisfied agent tickets / Total agent tickets with feedback) * 100","MSAT, Agent Satisfaction Rate, Agent Satisfaction Rate, Agent MSAT Percentage"
agent_tickets_msat_received,Metric,Total count of agent tickets that received positive customer satisfaction feedback,
agent_tickets_feedback_received,Metric,Total count of agent tickets that received any type of feedback responses,
Agent,Category,Customer service representatives who handle customer tickets and interactions,"Customer Service Agent, Support Agent"
Agent Tickets MSAT Received,Metric,Total count of agent-handled tickets that received positive satisfaction ratings from customers,
Agent Tickets Feedback Received,Metric,Total count of agent-handled tickets for which customer feedback was received (both positive and negative),
MSAT (%),Metric / Calculated Field,Customer satisfaction percentage calculated as (bot positive responses + MSAT tickets received) divided by (total bot responses + total feedback tickets received) multiplied by 100,"MSAT Percentage, Satisfaction Rate, Member Satisfaction Percentage, MSAT"
Total Tickets MSAT Received,Metric,Total count of tickets where customers indicated satisfaction (MSAT) in their feedback,"Satisfied Tickets, MSAT Tickets"
Total Tickets Feedback Received,Metric,"Total count of tickets where customer feedback was received, regardless of satisfaction level","Feedback Tickets, Total Responses"
MHD+Service,Category,Combined category encompassing Medical Health Department operations and general service activities,"MHD and Service, Healthcare Services"
total_tickets_msat_received,Metric,Total count of support tickets that received satisfactory ratings from customers,"Satisfied Tickets, Tickets MSAT Received"
total_tickets_feedback_received,Metric,Total count of support tickets that received any form of customer feedback or rating,"Feedback Tickets, Tickets Feedback Received"
MSAT(%) Service,Metric / Calculated Field,"Service satisfaction percentage calculated as (service_tickets_msat_received / service_tickets_feedback_received) * 100, representing the percentage of satisfied customers out of total feedback received for service tickets","MSAT, Service Satisfaction Rate, Service Satisfaction Rate"
service_tickets_msat_received,Metric,Total count of service tickets that received positive satisfaction feedback or met satisfaction criteria,
service_tickets_feedback_received,Metric,"Total count of service tickets for which feedback was received, serving as the denominator for satisfaction calculations",
Bot (Active+Dropoff),Metric,"Total sum of unique merchants who interacted with the bot system, including both merchants with active sessions and those who dropped off during the interaction",
Bot- Active Sessions,Metric,Total sum of unique merchants who maintained active sessions while interacting with the bot system,Bot Active Sessions
Unique Merchant Count,Category,Distinct count of merchants who accessed support services through various channels during a specific time period,
Bot,Category,Automated system that handles initial customer service interactions and tickets before potential escalation to human agents,"Chatbot, Virtual Assistant, Chatbot, Automated Assistant"
TAT,Metric,Turnaround Time - the duration between when a ticket or request is received and when it is resolved or completed,"Turn Around Time, Turnaround Time, Turnaround Time"
Avg TAT,Metric / Calculated Field,"Average Turnaround Time calculated as total TAT days divided by the number of tickets, representing the mean time to resolve tickets",Average Turnaround Time
Human Agent,Category,Category referring to tickets or services handled by human customer service representatives as opposed to automated systems,
sum_tat_days,Metric,Total sum of turnaround time days across all tickets in the measurement period,
tat_denominatior_tickets,Metric,"Count of tickets used as denominator in TAT calculations, representing the total number of tickets processed",TAT Denominator Tickets
Avg TAT (Days) Human Agent,Metric / Calculated Field,"Average turnaround time in days for tickets handled by human agents, calculated as total TAT days divided by total number of tickets",Average Turnaround Time for Human Agent
Bot Active Ticket Count,Metric,The count of active tickets currently being handled by the bot system,
SUM(bot_active_ticket_count),Metric / Calculated Field,"Total aggregated count of all active bot-related support tickets, calculated by summing individual bot_active_ticket_count values.",
Issue Mapping,Dimension,Classification system that categorizes support tickets into specific issue types or problem categories for tracking and analysis purposes.,
Top Issue on Bot,Category,Analysis of the most frequently occurring issues handled by the bot system based on active ticket volume,
issue_mapping,Dimension,Categorical classification or mapping of different types of customer issues or problems for support ticket organization,
Unique Merchant Counts,Category,Metrics tracking the count of distinct merchants served through different service channels including bot interactions and service transfers,
Care Dashboard,Category,Healthcare service quality metrics including response rates and member satisfaction scores for the MHD department,"Care Dashboard-MHD, MHD Dashboard, MHD/Merchant Help Desk Dashboard, MHD Care Dashboard"
Bot Passthrough %,Category,"Percentage of bot interactions that are transferred to human agents or service teams, calculated as the ratio of transferred tickets to total active bot tickets multiplied by 100",
bot_to_service_ticket_count,Metric,Total count of bot interactions that were escalated or passed through to human service agents,
Response Rate,Metric / Calculated Field,"Percentage of agent tickets that received feedback out of total tickets eligible for response, calculated as (agent_tickets_feedback_received / agent_tickets_for_response) * 100",
Bot Total Responses,Metric,Total number of responses generated by the bot system,
Bot Positive Response,Metric,Number of positive/satisfactory responses received from bot interactions,
Feedback % - Bot,Category,"Percentage of bot interactions that received feedback responses, calculated as (Total Bot Responses / Bot Active Ticket Count) * 100",Bot Feedback Rate
Total Tickets For Response,Metric,Total count of support tickets that were eligible to receive customer feedback responses,
Feedback %,Category,Collection of percentage-based metrics related to agent feedback collection and customer satisfaction,
Human Agent Feedback Metrics,Category,Group of metrics measuring human agent performance through customer feedback collection and satisfaction scoring,
agent_tickets_for_response,Metric,Total count of agent tickets that were eligible or required to receive customer response/feedback,
service_tickets_for_response,Metric,Total count of service tickets that are eligible or expected to receive a response/feedback,
Feedback % - Service,Category,Group of metrics measuring service feedback performance including response rates and satisfaction percentages,
Service Tickets,Metric,Individual service requests or support cases submitted by members or patients in the healthcare system,"fd_tickets, FD Tickets, Support Tickets"
Feedback,Metric,Customer or patient responses and evaluations provided for completed service tickets,
Avg TAT (Days),Metric / Calculated Field,"Average Turnaround Time in days calculated by dividing total MHD TAT days by the number of tickets processed, measuring the average time taken to resolve tickets by MHD agents","TAT, also referred as Turnaround Time, Average Turn Around Time, Average Turnaround Time, Average Turnaround Time, also referred as TAT"
sum_mhd_tat_days,Metric,"Total sum of turnaround time days for all MHD tickets, representing the cumulative time spent on resolving tickets",
mhd_tat_denominatior_tickets,Metric,"Total count of MHD tickets used as denominator in TAT calculations, representing the number of tickets processed","MHD TAT Denominator Tickets, TAT denominator tickets"
Avg TAT - Service Agent,Metric / Calculated Field,"Average Turnaround Time for Service Agents, calculated as total service TAT days divided by total number of tickets with TAT data",Average Turnaround Time - Service Agent
Service Agent,Category,Healthcare service representatives who handle patient care requests and service tickets in the Mental Health Department,
sum_service_tat_days,Metric,Total cumulative days spent in turnaround time across all service tickets,Total Service TAT Days
service_tat_denominatior_tickets,Metric,"Count of tickets used as denominator in TAT calculations, representing tickets with valid TAT data",Service TAT Denominator Tickets
created_date,Dimension,Date when the ticket or record was initially created in the system,Creation Date
L1 Issues,Category,Level 1 support issues representing the first tier of customer service problems that are typically handled by front-line support agents.,Level 1 Issues
SUM(total_ticket_count),Metric / Calculated Field,"Total aggregated count of all support tickets, calculated by summing individual ticket counts across different issue categories",
BOT (Active+Drop off),Metric,"Total count of bot tickets including both active sessions and dropped-off sessions, representing the complete volume of bot interactions.",Bot Total Tickets
Bot - Active Session,Metric,"Count of bot tickets where the session remained active, representing successful ongoing bot interactions without dropoff.",Active Bot Sessions
Ticket Counts,Category,Group of metrics measuring the volume and types of support tickets processed through bot interactions.,
Bot Ticket,Metric,Individual support ticket handled through automated bot interaction system.,
Bot Contact Ratio,Metric / Calculated Field,"Percentage of bot-handled tickets relative to total contact ratio base count, calculated as 100*SUM(bot_ticket_count)/max(cr_base_count)",
bot_ticket_count,Metric,"Total count of tickets or interactions handled by the bot system, including all session types",Bot Tickets
cr_base_count,Metric,"Base count used as denominator for contact ratio calculation, represents the total population or eligible base for contact ratio measurement.","Contact Ratio Base Count, Contact Ratio base count"
Total Volume,Metric / Calculated Field,"Combined count of IVR calls and bot tickets, calculated as sum(bot_ticket_count) + SUM(ivr_calls), representing total customer service interactions",
Bot Tickets,Metric,Total count of support tickets generated through automated chatbot interactions,Chatbot Tickets
Contact Ratio,Metric / Calculated Field,"Percentage calculated as (bot ticket count + IVR calls) divided by base count, multiplied by 100. Measures the ratio of customer service contacts relative to the base population.","Engagement Rate, Channel Distribution"
ivr_calls,Metric,Total count of calls handled through Interactive Voice Response (IVR) systems.,"IVR calls, IVR Calls"
IVR Contact Ratio,Metric / Calculated Field,"Percentage ratio calculated as total IVR calls divided by the base count, representing the proportion of interactions handled through Interactive Voice Response systems",IVR Contact Ratio (%)
CR Base Count,Metric,Contact Ratio base count representing the total volume used as denominator for contact ratio calculations,Contact Ratio Base Count
Avg TAT (Days) Service Agent,Metric / Calculated Field,"Average turnaround time in days for service agents, calculated as total service TAT days divided by the number of tickets with TAT data","TAT also referred as Turnaround Time, TAT, also referred as Turnaround Time"
Bot - Active Sessions,Metric / Calculated Field,"Percentage of active bot ticket interactions where users remained engaged, calculated as: (Active Bot Tickets / Base Count) × 100",
Avg TAT (Days) MHD Agent,Metric / Calculated Field,"Average Turnaround Time in days for MHD agents, calculated as total MHD TAT days divided by the number of tickets with TAT data","Average Turnaround Time, TAT"
Bot L2 Issues,Category,Second-level bot-related issues or problems that require escalation beyond initial bot handling,
bot_l2,Dimension,Level 2 bot issue categorization used for grouping and analyzing different types of bot-related problems or escalations,"Bot Level 2, L2 Bot Issues, L2 Bot Issues"
Top Bot L2 Issues,Category,The most significant or frequently occurring Level 2 bot issues ranked by active ticket count.,
DSAT,Synonym,"Dissatisfaction, typically referring to customer dissatisfaction scores or negative feedback in customer service contexts",Dissatisfaction
Bot Negative Response,Metric,"Total count of negative responses received from bot interactions, indicating customer dissatisfaction with automated service",
sum(bot_negative_response),Metric / Calculated Field,"Total aggregated count of all negative bot responses, calculated by summing all bot_negative_response values",
Bot L2,Category,Level 2 categorization of bot issues or bot interaction types used for grouping dissatisfaction reasons,"Bot Level 2, bot_l2"
Top DSAT Reason,Category,"Ranking of primary causes for customer dissatisfaction, specifically related to bot interactions",
bot_negative_response,Metric,Count of negative responses or dissatisfied interactions from bot customer service sessions,
Final MSAT %,Metric / Calculated Field,"Customer satisfaction percentage calculated as the number of happy/satisfied responses divided by total feedback responses, multiplied by 100. Formula: (SUM(happy) * 100 / SUM(feedback_given))","MSAT %, Customer Satisfaction Percentage, MSAT Percentage"
feedback_given,Metric,Total count of all feedback responses (positive and negative) provided by users to the bot,
happy,Metric,Count of positive/satisfied customer feedback responses indicating customer satisfaction,satisfied responses
cst_entity,Dimension,"Customer entity type categorizing different business units or service categories (excludes ivr-merchant, p4bsoundbox, all_others, p4bwealth).","Intent Category, also referred as Customer Service Entity, Customer Entity, customer service entity, customer entity, Customer Entity, Service Entity, Customer Service Entity"
Intent wise,Category,Analysis or segmentation based on customer intent or purpose of interaction with the care/support system.,"By Intent, Intent-based"
Intent,Category,Customer service interaction categories or types that classify the purpose or reason for customer contact,
Bot to Service Passthrough (%),Metric / Calculated Field,"Percentage of bot interactions that are escalated to human service agents, calculated as (bot_to_service_ticket_count / bot_active_ticket_count) * 100","Bot Service Escalation Rate, Bot to Service Escalation Rate"
SR%,Metric / Calculated Field,"Success Rate percentage calculated as (successful attempts / total attempts) * 100, measuring the effectiveness of function calls",Success Rate percentage
Raise Service Request SR%,Metric / Calculated Field,"Success rate percentage for raising service requests, calculated as (raiseservicerequest_success / raiseservicerequest_attempts) * 100",
Settlement & Payments SR%,Metric / Calculated Field,"Success rate percentage for settlement and payment information retrieval, calculated as (get_settlement_and_payment_info_success / get_settlement_and_payment_info_attempts) * 100",
Agent Handover SR%,Metric / Calculated Field,"Success rate percentage for agent handover processes, calculated as (agent_handover_success / agent_handover_attempts) * 100",
Check Soundbox HW SR%,Metric / Calculated Field,"Success rate percentage for checking soundbox hardware, calculated as (checksoundboxhardware_success / checksoundboxhardware_attempts) * 100",Check Soundbox Hardware SR%
Test Broadcast SR%,Metric / Calculated Field,"Success rate percentage for test broadcast functionality, calculated as (testbroadcast_success / testbroadcast_attempts) * 100",
Function Call Success Rates,Category,"Collection of success rate metrics measuring the effectiveness of different customer care functions including service requests, payments, agent handover, and hardware checks",
Soundbox,Category,"Hardware device that requires monitoring and testing, includes hardware checking and broadcast testing functions",SB
IVR,Category,Interactive Voice Response system - automated phone system that allows customers to interact with services through voice commands or keypad inputs.,Interactive Voice Response
Phone,Category,Communication channel representing voice-based customer interactions through telephone systems including traditional calls and IVR.,
Service Tickets Count (IVR),Metric,"Total count of service tickets generated from Interactive Voice Response (IVR) system calls, representing customer service requests initiated through automated phone systems.",
ivr_call_to_service_ticket,Metric,Number of service tickets created as a result of IVR calls,
Agent Tickets,Metric,"Total number of tickets escalated to human agents for assistance, representing cases that required human intervention beyond automated support.",Agent Handover
agent_ticket_count_phone,Metric,Total count of tickets handled by agents through phone/voice channels,Phone Agent Tickets
SUM(agent_ticket_count_phone),Metric / Calculated Field,Total aggregated count of all phone-based agent tickets across selected time period and dimensions,Total Phone Agent Tickets
Merchant Count,Metric,Count of merchants who have interacted with or used IVR services,
SUM(ivr_merchant_count),Metric / Calculated Field,"Total aggregated count of merchants using IVR services, summed across weekly intervals",
Unique Merchant Count - IVR,Metric / Calculated Field,"Total sum of merchants who interacted through the Interactive Voice Response (IVR) system, aggregated weekly",
IVR Merchant Count,Metric,Count of individual merchants using the Interactive Voice Response system for care services,
AVG Latency,Metric / Calculated Field,"Average of all latency measurements calculated using AVG(all_avg_latency), representing the mean response time in seconds",
Latency,Metric,"Time delay between a request being sent and the response being received, typically measured in milliseconds or seconds.","Response Time, Response Time, Request Delay"
Monthly,Category,Time aggregation level grouping metrics by calendar month for trend analysis and reporting purposes.,"Month-over-Month, Monthly Aggregation"
Year+Month,Metric / Calculated Field,"Combined temporal identifier calculated as Year multiplied by 100 plus Month number, used for chronological sorting.",
Median Latency,Metric,"Average of median latency values measured in the healthcare system, representing the middle value of response times or delays aggregated by month",
Monthly Median Latency,Metric / Calculated Field,"Average of median latency values calculated for each month, showing the monthly trend of typical response times.",
P95 Latency,Metric / Calculated Field,"The 95th percentile latency measurement, representing the response time below which 95% of requests are completed, calculated as the average of p95_latency values over the time period",P95
P99,Metric / Calculated Field,"Average of the 99th percentile latency values, calculated as AVG(p99_latency). Represents the average response time where 99% of requests are faster than this value.","P99 Latency, 99th Percentile Latency"
P99 Latency,Metric,"The 99th percentile of response times, indicating that 99% of requests complete faster than this threshold value.",
P95,Metric / Calculated Field,"95th percentile latency averaged over time periods, calculated as AVG(p95_latency)",
P90,Metric / Calculated Field,"Average of p90_latency values, representing the 90th percentile latency where 90% of requests complete faster than this measured time.","90th Percentile Latency, 90th Percentile"
P90 Latency,Metric,"Performance metric measuring the 90th percentile response time, indicating that 90% of system requests complete within this latency threshold.","90th Percentile Response Time, 90th Percentile Latency"
Sessions,Metric,"Count of distinct support tickets in the system, representing unique support interactions or cases",
CST,Category,Customer Support Team - support tickets and interactions related to customer users (role_type = 1),Customer Support Team
Tickets,Metric,Distinct count of support ticket IDs representing unique support cases or interactions,
Question Language Code,Dimension,"The language selected or used for support questions, mapped from language codes (en, hi, te, etc.) to readable language names (English, Hindi, Telugu, etc.)",
Role Type,Dimension,User classification where role_type = 1 indicates Customer users and role_type = 2 indicates Merchant users,
Support Language,Category,"Available languages for support including English, Hindi, Telugu, Marathi, Tamil, Kannada, Gujarati, Bengali, Malayalam, Punjabi, and Others",
Language Select,Category,"Language selection data showing the question language codes chosen during support ticket conversations, mapped to language names like English, Hindi, Telugu, etc.",
TAT(In Days),Metric / Calculated Field,Overall Turnaround Time calculated as total TAT days divided by total tickets with TAT data,"TAT, Turnaround Time"
MHD (TAT),Metric / Calculated Field,MHD agent Turnaround Time calculated as sum of MHD TAT days divided by MHD tickets with TAT data,MHD Turnaround Time
Service (TAT),Metric / Calculated Field,Service provider Turnaround Time calculated as sum of service TAT days divided by service tickets with TAT data,Service Turnaround Time
Overall MSAT%,Metric / Calculated Field,"Overall customer satisfaction percentage calculated as total satisfied tickets divided by total tickets with feedback, multiplied by 100","MSAT, Customer Satisfaction Percentage"
Agent MSAT,Metric / Calculated Field,"MHD agent customer satisfaction percentage calculated as agent satisfied tickets divided by agent tickets with feedback, multiplied by 100",Agent Customer Satisfaction
Service MSAT,Metric / Calculated Field,"Service provider customer satisfaction percentage calculated as service satisfied tickets divided by service tickets with feedback, multiplied by 100",Service Customer Satisfaction
issue_l1,Dimension,Primary level issue category classification for customer service tickets,Issue Level 1
issue_l2,Dimension,Secondary level issue category classification providing more detailed issue categorization,Issue Level 2
Feedback Received %,Metric / Calculated Field,"Percentage of service tickets that received customer feedback, calculated as total feedback given divided by total tickets multiplied by 100","Response Rate %, Feedback Rate %"
MSAT %,Metric / Calculated Field,"Percentage of satisfied customers calculated as total happy service feedback divided by total service feedback given, representing customer satisfaction rate among respondents.","Mobile Satisfaction %, also referred as MSAT, Mobile Satisfaction %, Customer Satisfaction %, Member Satisfaction Rate, MSAT also referred as Customer Satisfaction, Member Satisfaction %, Mental Health Satisfaction %, Customer Satisfaction %, Bot satisfaction rate, Monthly Satisfaction %"
Feedback Given,Metric,Total count of sessions where users provided feedback or satisfaction ratings,
Happy,Metric,Count of positive/satisfied customer feedback responses indicating happiness with the service,"Positive Feedback, Satisfied Responses, Happy Responses, also referred as Satisfied Users"
Care Dashboard Metrics,Category,"Collection of customer service and support metrics including sessions, agent handovers, and service tickets",MHD Metrics
Intent wise Tickets Creation %,Category,"Percentage breakdown of ticket creation across different service intent categories, showing the distribution of customer service requests by business area",
Profile,Metric / Calculated Field,"Percentage of profile-related tickets escalated to first-line defense, calculated as (profile FD tickets / total profile tickets) * 100",
Wealth,Metric / Calculated Field,"Percentage of wealth management tickets escalated to first-line defense, calculated as (wealth FD tickets / total wealth tickets) * 100",
SB Service Tickets,Metric / Calculated Field,"Percentage of Soundbox service tickets escalated to first-line defense, calculated as (soundbox FD tickets / total soundbox tickets) * 100",Soundbox Service Tickets
SB Agent Handover,Metric / Calculated Field,"Percentage of Soundbox tickets that required handover from AI bot to human agent, calculated as AI bot forwarded tickets divided by total Soundbox tickets",Soundbox Agent Handover
FD Tickets,Metric,First deflection tickets or forwarded tickets that require escalation or additional handling beyond initial automated response,"First Defense Tickets, First Desk Tickets, First Deflection Tickets, Forwarded Tickets"
FetchMerchantDetails,Metric,Total count of sessions where merchant details were fetched or retrieved from the system.,
AgentHandover,Metric,Total number of attempts where customer interactions were transferred or handed over to human agents.,
RaiseServiceRequest,Metric,Total number of attempts to raise or create service requests in the system.,
SettlementAndPaymentInfo,Metric,Total number of attempts to retrieve settlement and payment information for merchants.,
CheckSoundboxHardware,Metric,Total number of attempts to check or validate Soundbox hardware status.,
TestBroadcast,Metric,Total number of attempts to perform test broadcasts on the system.,
Function Call Metrics,Category,"Collection of metrics tracking various customer service function calls including merchant details retrieval, agent handovers, service requests, payment info, hardware checks, and test broadcasts.",
Function Calls,Category,"Collection of various customer service function calls including merchant details fetching, agent handovers, service requests, payment information retrieval, hardware checks, and test broadcasts.",
Total Tickets,Metric,Complete count of customer service tickets created for each intent category,
AI Bot,Category,Automated customer service system that handles initial ticket processing before potential handover to human agents,AIBot
# Language Change,Metric,Total count of language transitions aggregated by summing individual transition counts from the language transition data.,Language Change
Language Change,Synonym,# Language Change,
Language Transition,Category,"The specific type or category of language change being tracked, used as a grouping dimension for analyzing transition patterns.",
Transition Count,Metric,Individual count of language transition events that are aggregated to calculate total language changes.,
Bot MSAT %,Metric / Calculated Field,"Customer satisfaction percentage for bot interactions, calculated as (Total bot happy responses * 100) divided by Total bot feedback given, representing the percentage of positive feedback for bot customer service interactions","Bot Satisfaction Percentage, also referred as Bot MSAT, Bot MSAT Percentage, Bot Satisfaction Rate, Bot Satisfaction Percentage, Bot Merchant Satisfaction Percentage"
bot_happy,Metric,Total count of positive/satisfied feedback responses received from bot interactions,"Bot Positive Feedback, Positive Bot Feedback"
bot_feedback_given,Metric,Total count of sessions where users provided feedback to the bot,"Total Bot Feedback, Bot Total Feedback"
Bot Feedback Given,Metric,Total count of bot sessions where users provided feedback,
Bot Happy,Metric,Total count of positive/satisfied feedback responses from bot users,
Bot Satisfaction Metrics,Category,Collection of metrics measuring user satisfaction and engagement with bot services including feedback rates and satisfaction percentages,
fd_tickets,Metric,Total count of tickets processed by the system,Freshdesk tickets
agent_feedback_given,Metric,"Total count of feedback instances provided by agents, used as denominator for satisfaction calculations",
agent_happy,Metric,Count of positive or satisfied feedback responses from agents indicating happy customer interactions.,Positive Agent Feedback
active_sessions,Metric,Total count of active user sessions with the bot system,
Intent wise Ticket,Category,Customer service tickets categorized by customer intent or purpose of the interaction,Ticket by Intent
Intent wise Ticket Only,Category,Category of customer satisfaction metrics focused specifically on ticket-based interactions analyzed by customer intent.,
Service Feedback,Metric,Total count of feedback responses provided by customers on service tickets.,"Customer Feedback, Service Responses"
Service Happy,Metric,Total count of positive or satisfied feedback responses from customers regarding service quality.,"Positive Feedback, Satisfied Responses"
Service Feedback Given,Metric,Total count of customer feedback responses received for service tickets,
Service Ticket Metrics,Category,Collection of metrics related to customer service performance including feedback rates and satisfaction scores,
CTA Displayed #,Metric,Total count of unique users who were shown a Call-to-Action (CTA) during the specified time period.,"CTA Shown, Users Shown"
CTA Clicked #,Metric,Total count of unique users who clicked on a Call-to-Action (CTA) during the specified time period.,"CTA Engaged, Users Clicked"
CTR %,Metric / Calculated Field,"Click-through rate calculated as (CTA Clicked # × 100) ÷ CTA Displayed #, representing the percentage of users who clicked after being shown a CTA.","Click-Through Rate, Bot CTR, Click-through rate"
CTA,Category,"Call-to-Action elements displayed to users, representing interactive prompts designed to encourage specific user actions.",Call-to-Action
Bot CTR,Category,"Bot Click-Through Rate metrics measuring user engagement with automated chat interface elements including CTA displays, clicks, and conversion rates",Chatbot Performance Metrics
Week of the year,Metric,"The week number within a calendar year, used as a time dimension for tracking weekly performance trends",
