table_name,column_name,variable_type,column_description,required_flag
hive.cdo.fact_upi_transactions_snapshot_v3,transaction_type,varchar,"Categorizes UPI transactions using multiple classification schemes across different business contexts: (1) Transaction Operation Type - distinguishing between PAY transactions (money transfer initiated by payer) and COLLECT transactions (payment requests initiated by payee), used for analyzing UPI transaction flows in the payment ecosystem and transaction success rates; (2) Payment Flow Type - distinguishing between P2P (Person-to-Person) and P2M (Person-to-Merchant) transactions, used for business analytics to compare transaction patterns, user engagement, and monetary values across different payment categories. This field is crucial for categorizing and analyzing different UPI transaction flows, serving multiple analytical purposes across dashboards including flow pattern analysis and success rate monitoring. Note: The column appears to serve different categorization purposes across dashboards, indicating potential data model inconsistency that should be reviewed for clarity and standardization.",N
hive.cdo.fact_upi_transactions_snapshot_v3,txn_id,varchar,"A unique varchar identifier for each UPI transaction record, serving as the primary key for transaction analysis across multiple business functions. Used for counting distinct transactions and aggregating transaction volumes to calculate success rates, performance metrics, and business analytics across different transaction categories and statuses (success, deemed, failure, pending). Essential for measuring user activity metrics, transactions per user ratios, and supporting cross-functional UPI transaction analytics and reporting. Applied across dashboards for transaction counting, volume aggregation, success rate calculations, user behavior analysis, and comprehensive performance monitoring of UPI transaction ecosystem.",Y
hive.cdo.fact_upi_transactions_snapshot_v3,txn_timestamp,timestamp(3),"Records the precise timestamp (with millisecond precision) when a UPI transaction was created or processed, used for temporal analysis and time-based filtering of transaction data in success rate calculations.",Y
hive.cdo.fact_upi_customer_lifecycle_snapshot_v3,MTD_flag,,"A categorical flag that indicates whether a record belongs to the current month-to-date (MTD) or last month-to-date (LMTD) period, used for comparing monthly active user metrics across time periods in lifecycle analysis.",N
hive.cdo.fact_upi_customer_lifecycle_snapshot_v3,category,,"Categorizes the type of UPI transaction or customer interaction, with common values including 'VPA2MERCHANT', 'VPA2VPA', and 'VPA2ACCOUNT', used for segmenting and analyzing customer retention patterns across different transaction types.",N
hive.cdo.fact_upi_customer_lifecycle_snapshot_v3,customer_id,bigint,"Unique identifier for customers in the UPI payment system, used to track customer retention and lifecycle metrics across different time periods. This bigint field serves as the primary key for analyzing customer behavior patterns and calculating retention rates in UPI transaction dashboards.",Y
hive.cdo.fact_upi_customer_lifecycle_snapshot_v3,day_id,Not specified,"A date identifier column that stores the transaction or activity date, serving as the primary time dimension for UPI customer lifecycle analysis. Used for time-based filtering, monthly active user (MAU) calculations, month-over-month and last-month-to-date comparisons, tracking daily active users, transaction volumes, and analyzing P2P/P2M payment ratios over time. This column functions as the key temporal reference for all lifecycle metrics and transaction pattern analysis.",Y
hive.cdo.fact_upi_customer_lifecycle_snapshot_v3,final_category,,"Categorizes UPI transactions by their business use case or purpose, excluding generic 'Others' classifications. This field is used to analyze Monthly Active User (MAU) distribution across different transaction types in customer lifecycle reporting.",N
hive.cdo.fact_upi_customer_lifecycle_snapshot_v3,ft_date,date,"The fact table date that represents when the UPI customer lifecycle snapshot was recorded, used for time-based filtering and analysis to track monthly active users (MAU) and compare current month-to-date versus last month-to-date performance metrics.",Y
hive.cdo.fact_upi_customer_lifecycle_snapshot_v3,id,,Unique customer identifier used across UPI customer lifecycle tracking system for comprehensive user analytics. This ID enables measurement of user retention and engagement metrics across different time periods and TPU (Transactions Per User) segments. Additionally supports calculation of Daily Active Users (DAU) and customer segmentation across P2P (peer-to-peer) and P2M (peer-to-merchant) transaction flows for ratio analysis and lifecycle metrics. Critical for tracking unique users throughout their transaction lifecycle journey.,Y
hive.cdo.fact_upi_customer_lifecycle_snapshot_v3,lifecycle,varchar,"Represents the customer lifecycle stage in UPI usage patterns, categorizing users into different retention states such as fresh users and retained users for month-over-month retention analysis and TPU (Transactions Per User) bucketing.",N
hive.cdo.fact_upi_customer_lifecycle_snapshot_v3,payer_cust_id,,"Unique identifier for customers who initiate/pay in UPI transactions. Used for calculating key customer engagement metrics including Monthly Active Users (MAU), Daily Active Users (DAU), transaction counts, and gross merchandise value (GMV). Supports analysis of user engagement across different payment use cases and time periods, with specific focus on P2P vs P2M payment pattern analysis and customer-level aggregations.",Y
hive.cdo.fact_upi_customer_lifecycle_snapshot_v3,use_case,undefined,"The `use_case` column tracks user engagement activity within the current month-to-date period, used to identify Monthly Active Users (MAU) by filtering for values greater than 0. This metric helps analyze user activity patterns across different customer lifecycle stages and account types in the UPI ecosystem.",N
hive.cdo.fact_upi_customer_lifecycle_snapshot_v3,users,undefined,"A count of UPI customers used in retention analysis to measure user engagement across different lifecycle stages and time periods. This column serves as both base user count and retained user count depending on the analytical context, supporting retention rate calculations for UPI payment transaction users.",N
hive.default.virtual_table,Mau,undefined,Monthly Active Users (MAU) metric used in UPI retention analysis to track user engagement across different lifecycle stages and calculate month-over-month retention rates by comparing base users from previous periods with retained users in current periods.,N
hive.user_paytm_payments.upi_flow_wise_base,customer_id,,"Unique identifier for customers in the UPI payment flow system, used as the primary key to track distinct users and calculate metrics like Monthly Active Users (MAU) across different account types and lifecycles.",Y
hive.user_paytm_payments.upi_flow_wise_base,day_id,date,"A date column that represents the specific day for UPI payment flow analysis, used as a temporal dimension to enable daily-level tracking and monthly active user calculations in the payments analytics dashboard.",Y
hive.user_paytm_payments.upi_flow_wise_base,final_category,varchar(6),"A categorical field that classifies UPI transactions into specific use cases or transaction types, used for analyzing Monthly Active Users (MAU) distribution across different payment scenarios and excludes generic 'Others' categories.",N
hive.user_paytm_payments.upi_flow_wise_base,ft_date,,"A date column that represents the functional or transaction date used for tracking customer lifecycle events and activities in UPI payment flows, primarily used for filtering data in month-to-date and historical period comparisons for MAU analysis.",Y
hive.user_paytm_payments.upi_flow_wise_base,id,,"Unique identifier for users in the UPI payment flow system, used as a primary key to count distinct users and calculate metrics like Monthly Active Users (MAU) for lifecycle and account distribution analysis.",Y
hive.user_paytm_payments.upi_flow_wise_base,lifecycle,,"Represents the user lifecycle stage or engagement category, used to classify users into different activity levels (including 'Dormant' users) for analyzing monthly active user distributions and engagement patterns across account types.",N
hive.user_paytm_payments.upi_flow_wise_base,payer_cust_id,varchar,"Unique identifier for the customer making UPI payments, used as the primary key for counting Monthly Active Users (MAU) and analyzing user behavior across different payment use cases and lifecycle stages.",Y
hive.user_paytm_payments.upi_flow_wise_base,users,,"A numeric column representing the count of users in UPI payment flow analysis, used for calculating Monthly Active Users (MAU) and user distribution metrics across different account types and lifecycle stages.",N
hive.user_paytm_payments.upi_flow_wise_base_cm,MTD_flag,categorical,"A categorical flag that identifies whether a record belongs to the current Month-To-Date (MTD) period or the Last Month-To-Date (LMTD) period, used for comparing monthly active user metrics between current and previous month periods.",N
hive.user_paytm_payments.upi_flow_wise_base_cm,customer_id,,"Unique identifier for customers in the UPI payment flow system, used to link customer records across lifecycle and transaction tables for Monthly Active User (MAU) analysis and customer segmentation by use cases.",Y
hive.user_paytm_payments.upi_flow_wise_base_cm,day_id,date,"Date field representing the transaction or activity day for UPI payment flows, used to filter and segment Monthly Active User (MAU) metrics by time periods such as Month-to-Date (MTD) and Last Month-to-Date (LMTD).",Y
hive.user_paytm_payments.upi_flow_wise_base_cm,final_category,varchar(6),"A categorical field that represents the final lifecycle stage or classification of users, used to segment users for Monthly Active User (MAU) distribution analysis and likely contains values like dormant, active, or other user lifecycle categories.",N
hive.user_paytm_payments.upi_flow_wise_base_cm,ft_date,DATE,"Date field representing the financial or transaction date used for temporal filtering and analysis in UPI payment flow data, typically used to track daily snapshots of user activity and account status for MAU calculations.",Y
hive.user_paytm_payments.upi_flow_wise_base_cm,id,undefined,"A unique identifier for users in the UPI payment flow system, used to track individual user activity and calculate user metrics like Monthly Active Users (MAU) across different lifecycle stages and account types.",Y
hive.user_paytm_payments.upi_flow_wise_base_cm,lifecycle,,"Represents the lifecycle stage or status of users in the UPI payment system, categorizing users into different engagement phases (with dormant users as default when null) to analyze Monthly Active User distribution and engagement patterns.",N
hive.user_paytm_payments.upi_flow_wise_base_cm,payer_cust_id,varchar,"A unique customer identifier for the payer in UPI transactions, used to track and aggregate payment activities at the customer level for analytics such as Monthly Active Users (MAU) and lifecycle analysis.",Y
hive.user_paytm_payments.upi_flow_wise_base_cm,use_case,,"Categorizes different types of UPI payment use cases or transaction flows, used to segment and analyze Monthly Active Users (MAU) distribution across various payment scenarios in the dashboard.",N
hive.user_paytm_payments.upi_flow_wise_base_cm,users,Not specified,"A numeric field containing user counts that represents Monthly Active Users (MAU) metrics, aggregated and filtered to compare current month-to-date versus last month-to-date performance across different UPI use cases and customer lifecycle segments.",N
hive.user_paytm_payments.upi_flow_wise_base_partitioned,MTD_flag,Not specified,"A flag column that categorizes records as either 'MTD' (Month-to-Date for current month) or 'LMTD' (Last Month-to-Date for previous month), enabling month-over-month comparisons of user activity metrics in UPI payment flow analysis.",N
hive.user_paytm_payments.upi_flow_wise_base_partitioned,customer_id,,"Unique identifier for customers making UPI payments, used to track and measure Monthly Active Users (MAU) across different payment use cases and time periods in the payment flow analytics.",Y
hive.user_paytm_payments.upi_flow_wise_base_partitioned,day_id,date,"A date column that represents the transaction or activity date, used for temporal filtering and partitioning in UPI payment flow analysis to enable month-over-month comparisons and Monthly Active User (MAU) calculations by use case.",Y
hive.user_paytm_payments.upi_flow_wise_base_partitioned,final_category,varchar(6),"Represents the categorized use case or transaction type for UPI payments, used to segment and analyze Monthly Active Users (MAU) distribution across different payment categories in business intelligence dashboards.",N
hive.user_paytm_payments.upi_flow_wise_base_partitioned,ft_date,undefined,"A date field used for time-based filtering and partitioning in UPI transaction flow analysis, enabling month-to-date and last-month-to-date comparisons for monthly active user calculations.",Y
hive.user_paytm_payments.upi_flow_wise_base_partitioned,lifecycle,,Represents the customer lifecycle stage classification used to segment monthly active users (MAU) for business performance analysis across different time periods.,N
hive.user_paytm_payments.upi_flow_wise_base_partitioned,payer_cust_id,varchar,"Customer identifier for the payer in UPI transactions, used to track unique Monthly Active Users (MAU) across different payment use cases and time periods for customer lifecycle analysis.",Y
hive.user_paytm_payments.upi_flow_wise_base_partitioned,use_case,categorical,"Categorical field that classifies different payment use cases or transaction types within the UPI payment flow, used to segment and analyze Monthly Active Users (MAU) distribution across various payment scenarios. This column is consistently used across dashboards for payment transaction categorization and MAU analysis, enabling detailed segmentation of UPI payment flows by use case type.",N
hive.user_paytm_payments.upi_flow_wise_base_partitioned,users,,"This column represents the count of monthly active users (MAU) engaged in UPI payment activities, used to track and compare user engagement metrics between current month-to-date and last month-to-date periods across different payment use cases.",N
hive.cdo.fact_upi_customer_lifecycle_snapshot_v3,account_key,,"A composite identifier that uniquely combines customer ID, account details, and account type to create distinct account keys used for tracking user lifecycle and Monthly Active User (MAU) distribution analysis across different account combinations.",Y
hive.cdo.fact_upi_customer_lifecycle_snapshot_v3,account_type,,"A categorical field that classifies the type of account held by UPI customers, used to segment and analyze user engagement patterns across different account categories in monthly active user distribution reports.",N
hive.cdo.fact_upi_customer_lifecycle_snapshot_v3,accounts,,"Number of distinct active accounts held by each customer, calculated by counting unique account keys (combination of customer ID, account details, and account type). Used in customer lifecycle analysis to understand account ownership patterns and segment users for MAU distribution analysis.",N
hive.cdo.fact_upi_customer_lifecycle_snapshot_v3,comments,,"A text field containing additional notes or information about users, particularly used to identify dormant users who have relevant business context or special circumstances that warrant their inclusion in user lifecycle analysis.",N
hive.cdo.fact_upi_customer_lifecycle_snapshot_v3,created_on,,"A timestamp field that records when an account or record was created, used primarily for filtering accounts by creation date and determining user lifecycle stages in MAU analysis.",Y
hive.cdo.fact_upi_customer_lifecycle_snapshot_v3,detail_2,,A secondary identifier or handle type used to distinguish different account instances within the UPI customer lifecycle tracking system. This field is used in conjunction with customer_id and account_type to create unique account keys for MAU analysis and handle-wise user distribution reporting.,N
hive.cdo.fact_upi_customer_lifecycle_snapshot_v3,dl_last_updated,,"A timestamp column that indicates when each record was last updated in the data lake, used for filtering data within specific time windows and ensuring queries work with the most current data snapshots for UPI customer lifecycle analysis.",Y
hive.cdo.fact_upi_customer_lifecycle_snapshot_v3,dt,,"Date field representing when customer accounts were created, derived from the account creation timestamp and used for temporal analysis in customer lifecycle and Monthly Active Users (MAU) distribution reporting.",Y
hive.cdo.fact_upi_customer_lifecycle_snapshot_v3,handles,,"Represents user handles or customer identifiers in the UPI system, used to track and count users across different lifecycle stages and calculate metrics like Monthly Active Users (MAU) for bank account distribution analysis.",N
hive.cdo.fact_upi_customer_lifecycle_snapshot_v3,psp_id,,"Payment Service Provider identifier that categorizes users by their specific payment service provider, used for segmenting customer lifecycle and MAU analysis across different payment platforms.",Y
hive.cdo.fact_upi_customer_lifecycle_snapshot_v3,status,unknown,"Status field indicating the current lifecycle state of UPI customers in the snapshot. Used to: (1) filter for active accounts and classify user activity levels in MAU calculations and lifecycle analysis, and (2) track customer progression and segmentation in transaction flow analysis across different geographical states and payment categories (P2P/P2M). Represents the current state of records for filtering active accounts and analyzing customer lifecycle progression.",N
hive.cdo.fact_upi_customer_lifecycle_snapshot_v3,type,,"A categorical field that serves dual classification purposes in UPI customer analytics: (1) Classifies UPI users into different lifecycle segments (such as fresh users, retained users, etc.) used for calculating user retention metrics and analyzing customer behavior patterns across different time periods, and (2) Represents transaction flow categories or types used to classify transactions into different business flows (such as P2P, P2M, etc.) for state-wise and flow-wise analysis of user activity, transaction volume, and amounts.",N
hive.cdo.fact_upi_customer_lifecycle_snapshot_v3,use_case_lmtd,,"A metric tracking customer engagement in specific use cases over a limited time period (likely month-to-date), used to identify Monthly Active Users (MAU) and calculate active user percentages across different customer lifecycle stages.",N
hive.cdo.fact_upi_customer_lifecycle_snapshot_v3,use_case_mtd,undefined,"A metric that tracks month-to-date use case activity for customers, used to identify Monthly Active Users (MAU) by filtering for values greater than 0 in customer lifecycle analysis and account distribution reporting.",N
hive.cdo.fact_upi_customer_lifecycle_snapshot_v3,user_id,,"Unique identifier for individual users in the UPI customer lifecycle system, used to track user activity, calculate Monthly Active Users (MAU), and analyze customer engagement across different lifecycle stages and payment handles.",Y
hive.tpap_pms.account_snapshot_v3,account_key,,"A composite identifier that uniquely identifies accounts by combining customer ID, account details, and account type in the format ""customer_id-detail_2-account_type"". This key is used for tracking account activity and analyzing Monthly Active Users (MAU) distribution across different account handles in the payment management system.",Y
hive.tpap_pms.account_snapshot_v3,account_type,varchar,"A categorical field that specifies the type of account (e.g., savings, current, wallet) held by users, used to distinguish between different account categories when analyzing user engagement and Monthly Active User metrics.",N
hive.tpap_pms.account_snapshot_v3,accounts,undefined,"The accounts column contains the count of distinct accounts associated with each customer, derived by concatenating customer_id, detail_2, and account_type fields. This metric is used in MAU (Monthly Active Users) analysis to understand user engagement and account distribution patterns across different customer segments.",N
hive.tpap_pms.account_snapshot_v3,comments,,"A text field containing additional notes or contextual information about user accounts, particularly used to identify dormant users who should still be considered active for business analysis purposes.",no
hive.tpap_pms.account_snapshot_v3,created_on,timestamp(3),"Timestamp indicating when an account was created in the system, used to filter accounts by age and determine eligibility for Monthly Active User (MAU) calculations in business analytics.",Y
hive.tpap_pms.account_snapshot_v3,customer_id,,"Unique identifier for customers in the account snapshot table, used as a key for aggregating user metrics and measuring Monthly Active Users (MAU) across different account lifecycles and business segments.",Y
hive.tpap_pms.account_snapshot_v3,day_id,unknown,"A date identifier column used for partitioning and time-based analysis of daily account snapshots, enabling tracking of account states and user metrics over time for MAU calculations and lifecycle analysis.",Y
hive.tpap_pms.account_snapshot_v3,detail_2,varchar,"A varchar field that serves as an account identifier or category code used to create unique account keys when combined with customer_id and account_type, primarily used for tracking Monthly Active Users (MAU) distribution across different account segments.",N
hive.tpap_pms.account_snapshot_v3,dl_last_updated,date,"A date field that tracks when the account snapshot record was last updated during the data loading process, used to filter out incomplete or stale records and ensure data quality in analytics queries.",Y
hive.tpap_pms.account_snapshot_v3,dt,,"The dt column represents the account creation date, derived from the created_on timestamp, and is used to track when accounts were established for MAU (Monthly Active Users) analysis and lifecycle reporting.",Y
hive.tpap_pms.account_snapshot_v3,final_category,,"Represents the final categorization or classification assigned to accounts, likely indicating the lifecycle stage or business category used for MAU (Monthly Active Users) distribution analysis and user segmentation.",N
hive.tpap_pms.account_snapshot_v3,ft_date,,"A date field representing the effective date or snapshot date for account data records, used for time-based analysis and filtering in monthly active user (MAU) reporting and account lifecycle tracking.",Y
hive.tpap_pms.account_snapshot_v3,handles,Unknown,"The handles column represents a categorical grouping or classification system used to segment user accounts for analytical purposes, particularly for analyzing Monthly Active User (MAU) distribution and user engagement patterns across different account categories.",N
hive.tpap_pms.account_snapshot_v3,id,bigint,"A unique identifier (bigint) that serves as a foreign key linking accounts to users, primarily used in MAU distribution analysis to aggregate user counts across different account lifecycle stages.",Y
hive.tpap_pms.account_snapshot_v3,lifecycle,not specified,"Categorizes users or accounts based on their activity status or customer journey stage, used primarily for segmenting users in MAU analysis and engagement tracking, with dormant users as the default classification when no lifecycle stage is specified.",N
hive.tpap_pms.account_snapshot_v3,payer_cust_id,undefined,"A customer identifier that links accounts to their associated payer or customer entity, used for aggregating account metrics at the customer level and calculating user engagement statistics like Monthly Active Users (MAU).",Y
hive.tpap_pms.account_snapshot_v3,psp_id,undefined,"Payment Service Provider identifier that categorizes users by their associated PSP, used to filter and segment user populations for MAU analysis and business reporting across different payment service providers.",Y
hive.tpap_pms.account_snapshot_v3,status,varchar,"The status column indicates the current state of an account (e.g., 'ACTIVE', 'INACTIVE'), used to filter for active accounts in monthly active user calculations and account distribution reporting.",N
hive.tpap_pms.account_snapshot_v3,type,,"Categorizes the type of account or user entity, with 'PERSON' indicating individual user accounts as opposed to business or other entity types in the payment system.",no
hive.tpap_pms.account_snapshot_v3,use_case_lmtd,,"A monthly counter that tracks limited use case activity for users, used to determine Monthly Active Users (MAU) by filtering for values greater than 0. This metric helps identify active users within a given month for business analytics and user engagement reporting.",N
hive.tpap_pms.account_snapshot_v3,use_case_mtd,,"A month-to-date usage indicator that tracks whether an account has been actively used in the current month, with values greater than 0 identifying Monthly Active Users (MAU) for account lifecycle and engagement analysis.",N
hive.tpap_pms.account_snapshot_v3,user_id,bigint,Foreign key identifier that links each account record to its corresponding user in the user_snapshot_v3 table. This column is used to aggregate user counts and calculate metrics like Monthly Active Users (MAU) across different account lifecycles and types.,Y
hive.tpap_pms.account_snapshot_v3,users,unknown,Contains user count values used for calculating Monthly Active Users (MAU) metrics and user distribution analysis. This numeric field is aggregated to measure user engagement levels and active user statistics across different handles and lifecycle stages.,N
hive.tpap_pms.user_snapshot_v3,account_key,Not specified,"A composite identifier that uniquely combines customer ID, account details, and account type (format: customer_id-detail_2-account_type), used for tracking and analyzing monthly active users across different account handles in the payment system.",Y
hive.tpap_pms.user_snapshot_v3,account_type,,"Categorizes the type of account held by users, used to create unique account identifiers and analyze user engagement patterns across different account classifications in the payment system.",N
hive.tpap_pms.user_snapshot_v3,accounts,,"The number of distinct active accounts owned by a customer, calculated by counting unique account keys (combination of customer ID, account details, and account type). This metric is used to analyze Monthly Active Users (MAU) distribution and customer engagement patterns across different payment handles.",N
hive.tpap_pms.user_snapshot_v3,comments,varchar,"A text field that stores additional information or notes about users, primarily used to identify dormant users who should still be included in business analysis and reporting metrics.",N
hive.tpap_pms.user_snapshot_v3,created_on,timestamp(3),"Records the timestamp when a user account was created in the system. This field is used for temporal filtering in user analytics, account lifecycle tracking, and MAU distribution analysis to determine when users first established their accounts.",Y
hive.tpap_pms.user_snapshot_v3,customer_id,varchar,"Unique identifier for customers in the system, used for user analytics including Monthly Active User (MAU) calculations and customer lifecycle tracking across different account types and business segments.",Y
hive.tpap_pms.user_snapshot_v3,day_id,,"A date identifier that represents the snapshot date for user data in the user snapshot table, used to track user metrics and lifecycle states over time for temporal analysis and reporting.",Y
hive.tpap_pms.user_snapshot_v3,detail_2,,"A secondary classification field used to further categorize accounts within account types, serving as part of the composite key for unique account identification in user activity and MAU analysis.",N
hive.tpap_pms.user_snapshot_v3,dl_last_updated,date,"A technical metadata column that stores the date when the record was last updated in the data processing pipeline, commonly used as a data quality filter to ensure only properly processed records are included in analysis.",Y
hive.tpap_pms.user_snapshot_v3,dt,undefined,"Date column representing the account creation date, derived from the created_on timestamp and used for temporal analysis in user lifecycle and Monthly Active Users (MAU) distribution reporting.",Y
hive.tpap_pms.user_snapshot_v3,final_category,,"Represents the final user lifecycle category after processing, defaulting to 'Dormant' status when no specific lifecycle classification is available. Used primarily for MAU distribution analysis and user segmentation reporting across different user handles.",N
hive.tpap_pms.user_snapshot_v3,ft_date,,"A date field that represents the snapshot date for user data records, used for temporal analysis and filtering in Monthly Active Users (MAU) reporting and lifecycle distribution calculations.",Y
hive.tpap_pms.user_snapshot_v3,handles,categorical,"A categorical dimension that segments users by handle type or category, primarily used for analyzing Monthly Active User (MAU) distribution and user engagement patterns across different business segments.",N
hive.tpap_pms.user_snapshot_v3,id,bigint,"Unique identifier for users in the system, used as a primary key to link user records with their associated accounts and calculate user count metrics including Monthly Active Users (MAU).",Y
hive.tpap_pms.user_snapshot_v3,lifecycle,,"Represents the user engagement lifecycle stage or status (e.g., active, dormant) used to categorize users based on their activity patterns and calculate monthly active user distributions across different engagement phases.",N
hive.tpap_pms.user_snapshot_v3,payer_cust_id,Not specified,"Unique identifier for payer customers in the payment system, used to track user accounts and calculate user activity metrics like Monthly Active Users (MAU) across different lifecycle stages.",Y
hive.tpap_pms.user_snapshot_v3,psp_id,bigint,"Payment Service Provider identifier that categorizes users by their associated PSP, used for filtering and segmenting user analytics such as Monthly Active User distributions across different payment providers.",Y
hive.tpap_pms.user_snapshot_v3,status,varchar,"Indicates the current operational state of a user account, with values like 'ACTIVE' for functioning users and 'DORMANT' for inactive users, used primarily for filtering active user populations in MAU calculations and user lifecycle analysis.",N
hive.tpap_pms.user_snapshot_v3,type,varchar,"Categorizes the type of user entity in the system, with 'PERSON' indicating individual human users as opposed to other entity types like organizations or system accounts. This field is used to filter user metrics and ensure accurate counting of actual person users in MAU and user distribution analysis.",N
hive.tpap_pms.user_snapshot_v3,use_case_lmtd,,"A metric column that tracks use case activity for the last month to date period, used to identify Monthly Active Users (MAU) by filtering for values greater than 0 in user engagement and lifecycle analysis.",N
hive.tpap_pms.user_snapshot_v3,use_case_mtd,undefined,"A numeric indicator tracking user activity or engagement within the current month-to-date period, where values greater than 0 are used to identify Monthly Active Users (MAU) for business reporting and analytics.",N
hive.tpap_pms.user_snapshot_v3,user_id,,"Unique identifier for users in the system, used as a primary key to link user records with their associated accounts and enable user-level analytics such as Monthly Active User (MAU) calculations and user distribution analysis.",Y
