term,type,definition,business_alias
Base_month,Metric,The starting month used as a reference point for calculating retention and user lifecycle analysis,
diff,Metric / Calculated Field,"The difference in months between the base month and retention month, calculated using date_diff function",
b:repeat,Category,User lifecycle category representing repeat users who have made multiple UPI transactions,repeat users
scope_cust_id,Metric,Unique customer identifier used to track individual users across different time periods for retention analysis,customer ID
Retention Month,Metric,The subsequent month being compared to the base month for retention analysis,retention_month
% Growth,Metric / Calculated Field,Month-over-month growth percentage calculated as sum of month-over-month growth divided by sum of users (SUM(mom_growth)/SUM(users)),MoM Growth
M0,Category,"Current month or month zero in retention analysis, indicating users in their base month of activity","Month 0, Base Month"
NRR,Metric / Calculated Field,Net Retention Rate - calculated as current month users divided by the maximum users in the same lifecycle and base month cohort,Net Retention Rate
LM Users,Metric,Total count of distinct users who were active in the last month period,"Last Month Users, Base Users"
Retained Users,Metric,Count of users who were active in both the base period and the subsequent retention period,Retained Users
Base Users,Metric,Count of distinct users from the previous month across different lifecycle stages who form the baseline for retention calculation,
Retention Users,Metric,Count of distinct users who were active in the previous month and also performed transactions in the current month-to-date period,Retained Users
MAU Users,Metric,Monthly Active Users - the count of unique users who were active within a specific month period,"MAU, Monthly Active Users"
Retained users,Metric,"Count of users from the base period who continued to be active in the current period, used to measure user retention.",Retained Users
Retention In %,Metric / Calculated Field,"Percentage of users retained from previous period, calculated as (Retained users × 100) / Total users","Retention Rate, Retention Percentage"
RMG,Category,Real Money Gaming - category referring to gaming merchants and related user engagement metrics,Real Money Gaming
DoD,Category,Day over Day analysis comparing metrics between consecutive days to identify trends,"Day-over-Day, Day over Day"
Success_txn,Metric,Count of transactions with status 'success' or 'deemed' indicating completed successful payments,"Successful Transactions, Success Transactions"
Overall_txn,Metric,"Total count of all transactions including success, deemed, failure, and pending status transactions","Overall Transactions, Total Transactions"
Gaming_flag,Category,Binary classification indicating whether a user is involved in gaming transactions ('Gaming') or not ('Non_gaming'),
use_case,Metric / Calculated Field,"Count of distinct transaction categories (P2P, SnP, Online, Onus) that a user has engaged in during the month",
P2P,Category,Person-to-Person transactions - UPI payments made between individual users (VPA2VPA category).,Person-to-Person
SnP,Category,Scan and Pay transactions including 3P QR and Paytm QR payments,
Online,Category,"Online UPI transactions including Intent, P2M Collect, and Mandate_Online flows",
Onus,Category,On-us transactions including Onus_ExcMandates and Mandate_Onus flows within the same bank,
users_viewed_banner,Metric,Count of users who viewed the banner for various UPI features,
SUM(users_viewed_banner),Metric / Calculated Field,Total aggregated count of all users who viewed banners across all UPI features,
converted_post_viewing,Metric,Count of users who completed the target action after viewing the banner,
users_clicked_banner,Metric,Count of users who clicked on the banner for UPI features,
converted_post_clicking,Metric,Count of users who completed the target action after clicking the banner,
TG CG tracking,Category,Target Group and Control Group tracking methodology for measuring banner effectiveness,Target Group Control Group tracking
Bank Linking,Category,UPI feature allowing users to link their bank accounts for payments,
RuPay CC Linking,Category,UPI feature for linking RuPay credit cards to UPI payments,RuPay Credit Card Linking
UPI Lite Activation,Category,Feature activation for UPI Lite small value payment service,
Download UPI Statement,Category,Feature allowing users to download their UPI transaction statements,UPI Statement
Receive Money widget,Category,Widget feature for receiving money through UPI interface,
Scan & Pay widget,Category,Widget feature for scanning QR codes and making UPI payments,Scan and Pay widget
Spends Analytics,Category,Feature providing users with analytics and insights on their spending patterns,
UPI Lite Auto Top UP,Category,Feature for automatically topping up UPI Lite balance when it falls below threshold,UPI Lite Auto Top-up
Base users,Metric,"Total count of users in the base period used for retention analysis, typically representing users active in the previous month.",
GMV,Metric,Gross Merchandise Value - the total transaction amount/value processed through UPI payments.,"Gross Merchandise Value, Amount, Gross Merchandise Value"
GPU,Category,"Grouping dimension used for segmenting UPI retention analysis, likely referring to GMV Per User or similar user profiling metric.",GMV Per User
Txns,Metric,Total count of UPI transactions including PAY and COLLECT transaction types with SUCCESS or DEEMED status,Transactions
P2M,Category,Person-to-Merchant transactions - UPI payments made from individuals to merchants (VPA2MERCHANT category).,Person-to-Merchant
Ratio DAU P2p/p2m,Metric / Calculated Field,"Ratio comparing P2P Daily Active Users to P2M Daily Active Users, calculated using LAG function to compare previous period DAU values.",
Ratio txns P2p/p2m,Metric / Calculated Field,"Ratio comparing P2P transaction count to P2M transaction count, calculated using LAG function to compare previous period transaction values.",
Ratio gmv P2p/p2m,Metric / Calculated Field,"Ratio comparing P2P transaction amounts to P2M transaction amounts, calculated using LAG function to compare previous period GMV values.",
Amount,Metric,Total monetary value of all UPI transactions in the specified currency,Transaction Amount
State,Category,"Geographic dimension representing the state where UPI users are located, used for regional analysis",Geographic State
p2m_p2p_flag,Metric / Calculated Field,Calculated field that categorizes transactions as either P2P or P2M based on is_p2p and is_p2m boolean flags,
Flow Category,Category,"Classification of UPI transaction types including VPA2MERCHANT, VPA2VPA, and VPA2ACCOUNT",Transaction Flow Type
